iter	Passed	Remaining
901	29793	3236
902	29826	3203
903	29854	3170
904	29884	3137
905	29918	3104
906	29948	3070
907	29975	3037
908	30001	3003
909	30038	2970
910	30064	2937
911	30088	2903
912	30132	2871
913	30175	2839
914	30213	2806
915	30248	2773
916	30274	2740
917	30300	2706
918	30333	2673
919	30362	2640
920	30387	2606
921	30423	2573
922	30457	2540
923	30481	2507
924	30510	2473
925	30543	2440
926	30568	2407
927	30592	2373
928	30628	2340
929	30660	2307
930	30693	2274
931	30722	2241
932	30762	2209
933	30793	2175
934	30822	2142
935	30865	2110
936	30891	2077
937	30922	2043
938	30957	2011
939	30982	1977
940	31009	1944
941	31041	1911
942	31071	1878
943	31096	1844
944	31121	1811
945	31156	1778
946	31248	1748
947	31312	1717
948	31352	1684
949	31383	1651
950	31410	1618
951	31437	1585
952	31465	1551
953	31496	1518
954	31522	1485
955	31553	1452
956	31582	1419
957	31616	1386
958	31649	1353
959	31682	1320
960	31711	1286
961	31740	1253
962	31780	1221
963	31812	1188
964	31844	1154
965	31874	1121
966	31906	1088
967	31932	1055
968	31964	1022
969	32001	989
970	32032	956
971	32058	923
972	32091	890
973	32125	857
974	32151	824
975	32176	791
976	32216	758
977	32242	725
978	32266	692
979	32295	659
980	32340	626
981	32368	593
982	32396	560
983	32429	527
984	32460	494
985	32485	461
986	32510	428
987	32545	395
988	32570	362
989	32599	329
990	32634	296
991	32662	263
992	32701	230
993	32732	197
994	32761	164
995	32791	131
996	32815	98
997	32850	65
998	32900	32
999	32948	0
